100914,Haier 海尔 I710 3G手机 钢琴黑 TD-SCDMA/GSM,海尔（Haier）,0,0,316,-,谷歌Android,
100917,CHANGHONG/长虹 008-Ⅲ M 汗马008-3M 悍马 3000毫安超长待机手机 小汗马(冠军金),长虹（CHANGHONG）,6,55,259,3.5英寸以下,非智能操作系统,
100921,Haier 海尔 U50T 3G(GSM/TD-SCDMA)双卡双待 手机 陶瓷白,海尔（Haier）,1,14,118,-,-,
100922,黑莓 9530 电信行货 电信CDMA 直接插卡/3G上网  黑色,黑莓（BlackBerry）,4,91,899,-,-,
100923,BlackBerry 黑莓 P9981 3G手机 极致奢华  不锈钢机身 浅灰,黑莓（BlackBerry）,0,0,3999,-,-,
100924,BlackBerry/黑莓 9850 智能3G,黑莓（BlackBerry）,0,53,1499,-,-,
100925,BlackBerry/黑莓 9630电信3G 全键盘 单卡双模 ,黑莓（BlackBerry）,1,131,1299,-,-,
100926,BlackBerry/黑莓 9650(电信版)CDMA2000/WCDMA,黑莓（BlackBerry）,0,30,1199,-,-,
100927,BlackBerry/黑莓 9300（联通版） WCDMA/GSM 黑色,黑莓（BlackBerry）,0,0,2999,3.5英寸以下,其它智能系统,
100933,飞利浦 W8510 3G手机(儒雅灰)WCDMA/GSM 双卡双待,飞利浦（PHILIPS）,0,76,1758,-,-,
100935,飞利浦(PHILIPS)X1560 GSM手机(黑+香槟色),飞利浦（PHILIPS）,1,920,488,3.5英寸以下,非智能操作系统,
100939,飞利浦(Philips ) W7376 WCDMA/GSM  500万像素,飞利浦（PHILIPS）,0,2,1198,4.1-4.9英寸,Android（安卓）,
100941,飞利浦(PHILIPS)W8355手机(黑色)WCDMA/GSM,飞利浦（PHILIPS）,0,0,799,-,-,
100946,Philips/飞利浦T939手机TD-SCDMA/GSM,飞利浦（PHILIPS）,0,1,3288,3.5英寸以下,Android（安卓）,
100950,Philips/飞利浦 X713 双卡双待 GPS导航 超长待机,飞利浦（PHILIPS）,0,0,299,-,-,
100951,飞利浦X2560 老人语音手机 超长待机语音王 大字体大音量 超薄时尚GSM手机(黑色),飞利浦（PHILIPS）,98,6465,360,-,其他,
100960,金立手机C800,金立（ Gionee）,0,0,599,-,-,
100970,酷派(Coolpad)8085 3G手机(白色)TD-SCDMA/GSM ,欧欧（OO）,0,1,519,4.1-4.9英寸,Android（安卓）,
100971,酷派(Coolpad)8720 3G手机(智铂银)TD-SCDMA/GSM,欧欧（OO）,0,0,299,5.0英寸及以上,Android（安卓）,
100972,酷派(Coolpad) 8076 3G手机(棕色) TD-SCDMA/GSM 双卡双待,欧欧（OO）,1,451,185,-,谷歌Android,
100974,酷派 5879 3G手机(灵锐白) CDMA2000/GSM双模双待,酷派（Coolpad）,0,0,746,5.0英寸及以上,Android（安卓）,
100977,酷派(Coolpad)8295 3G手机(白色)TD-SCDMA/GSM 双卡双待,欧欧（OO）,0,5,718,5.0英寸及以上,Android（安卓）,
100978,酷派 5216S 电信3G手机(黑) CDMA2000/CDMA,酷派（Coolpad）,1,23,312,3.6-4.0英寸,Android（安卓）,
100979,酷派(Coolpad) 8056 3G手机(黑色) TD-SCDMA/GSM 双卡双待,欧欧（OO）,8,862,229,3.5英寸,-,
100980,酷派 7268 3G手机(白色)WCDMA/GSM 双卡双待,酷派（Coolpad）,0,1,548,-,-,
100983,酷派(Coolpad)8020+ 3G手机(黑色)TD-SCDMA/GSM,欧欧（OO）,0,0,286,3.6-4.0英寸,Android（安卓）,
100984,Coolpad 酷派 8195 TD-SCDMA/GSM 3G手机 白色 ,欧欧（OO）,0,1,498,5.0英寸及以上,Android（安卓）,
100992,酷派(Coolpad)8012 3G手机(黑色)TD-SCDMA/GSM,欧欧（OO）,0,2,266,3.5英寸以下,Android（安卓）,
100997,酷派(coolpad)7269 3G手机 WCDMA/GSM双卡双待(白色) ,欧欧（OO）,1,35,539,4.1-4.9英寸,Android（安卓）,
100998,酷派 8190Q TD-SCDMA/GSM 四核4.5寸屏 移动3G手机 白色,酷派（Coolpad）,0,20,458,4.5英寸,谷歌Android,
100999,酷派(Coolpad)5930 3G手机 黑色 双模双待,欧欧（OO）,1,144,472,-,-,
101002,Coolpad/酷派 N930 双网双待  檀紫金,欧欧（OO）,0,3,799,-,谷歌Android,
101023,酷派 手机 7230 (玩酷黑),酷派（Coolpad）,0,3,649,3.6-4.0英寸,Android（安卓）,
101050,Coolpad/酷派 N950 双模双待 安卓系统 智能手机,欧欧（OO）,0,0,1999,-,-,
101051,三星 I9008L 移动3G手机 4.0寸屏 TD-SCDMA/GSM,三星（SAMSUNG）,2,4,299,3.6-4.0英寸,Android（安卓）,
101052,酷派(Coolpad)7260+ 3G手机WCDMA/GSM 双卡双待(白色),欧欧（OO）,1,162,349,3.6-4.0英寸,Android（安卓）,
101069,Coolpad/酷派 5899 双模双待 安卓智能 超长待机 电信3G手机(睿智黑),欧欧（OO）,0,1,446,3.5英寸以下,Android（安卓）,
101070,Coolpad/酷派 5010 电信3G手机 安卓智能 3色现货销售(智铂灰),欧欧（OO）,0,0,269,4.5-3.1英寸,安卓（Android）,
101072,Coolpad/酷派 9070+xo (白色)五核极速 5.7英寸 双网双待双通,欧欧（OO）,23,496,998,5.7英寸,谷歌Android,
101080,CHANGHONG/长虹 A889双卡超长待机大字老人商务男士手写按键机2000毫安(黑色),长虹（CHANGHONG）,0,0,499,3.5英寸以下,非智能操作系统,
101089,首信 S728S GSM老人手机 (咖啡色),首信（capitel） ,0,4,230,-,其他,
101094,康佳(KONKA)凡高 V981 3G手机(深枪色+白色)TD-SCDMA/GSM 双卡双待,康佳（KONKA）,0,0,1148,4.1-4.9英寸,Android（安卓）,
101097,康佳 Q5 儿童GSM手机(乳白色),康佳（KONKA）,0,0,179,3.5英寸以下,非智能操作系统,
101098,康佳K58  黑金色,康佳（KONKA）,1,93,599,-,其他,
101102,长虹(CHANGHONG)V10双核大白鲨手机 白色 ,长虹（CHANGHONG）,0,0,699,5.0英寸及以上,Android（安卓）,
101103,长虹(CHANGHONG)W6锋韵手机 黑色,长虹（CHANGHONG）,0,6,545,-,谷歌Android,
101107,长虹 C800 电信3G手机( 电镀蓝 ) CDMA2000/GSM 双模双待,长虹（CHANGHONG）,0,6,736,4.1-4.9英寸,Android（安卓）,
101108,Changhong/长虹008-V(金狮尊贵版) 大金狮 超长待机手机,长虹（CHANGHONG）,2,30,579,3.5英寸以下,非智能操作系统,
101113,长虹008-IIIL(大汗马)金至尊版双卡双待超长待机手机  冠军金,长虹（CHANGHONG）,0,5,648,3.5英寸以下,非智能操作系统,
101119,CHANGHONG 长虹 W3 智尚(GSM/WCDMA)双卡双待手机 橡胶草绿,长虹（CHANGHONG）,0,4,748,3.6-4.0英寸,Android（安卓）,
101124,海信 EG929 电信3G手机 (劲松灰) CDMA2000/GSM 双网双待,海信（Hisense）,0,10,286,3.6-4.0英寸,Android（安卓）,
101126,海信 MIRA U970 3G手机(幻羽黑)WCDMA/GSM 双卡双待,海信（Hisense）,0,57,698,-,-,
101127,海信(Hisense)MIRA T970 3G手机(幻羽黑)TD-SCDMA/GSM,海信（Hisense）,1,42,562,-,-,
101133,海信 T818 3G手机(晶典黑)TD-SCDMA/GSM,海信（Hisense）,0,1,296,-,-,
101134,海信 U958 3G手机(幻羽黑)WCDMA/GSM 双卡双待,海信（Hisense）,0,3,416,-,-,
101137,海信(Hisense)EG950A 3G手机 皓月黑 双模双待双通,海信（Hisense）,0,0,599,4.1-4.9英寸,Android（安卓）,
101138,Hisense 海信E89手机 电信CDMA 3G智能手机 Android2.1,海信（Hisense）,0,6,276,-,-,
101139,海信 手机 U950S [温莎白],海信（Hisense）,25,1256,394,4.5英寸,-,
101141,海信 手机 U960Q [极速黄],海信（Hisense）,0,1,1048,5.0英寸及以上,Android（安卓）,
101143,海信 T929 (黑色)4.0英寸 1GHz双核处理器 安卓系统 ,海信（Hisense）,0,0,266,-,-,
101144,Hisense/海信 T958 移动3G手机 安卓 手机 直板 四核处理器 4.5英寸IPS屏 全新Android4.1(黑),海信（Hisense）,1,2,446,4.1-4.9英寸,Android（安卓）,
101145,三星 I579 电信3G手机 CDMA2000/CDMA,三星（SAMSUNG）,0,0,788,-,-,
101150,ZTE/中兴 U880E 3G手机 TD-SCDMA /GSM 4.0英寸 500万像素(银色),中兴（ZTE ）,0,10,529,3.6-4.0英寸,Android（安卓）,
101152,TCL D920 3G手机(冰雪白)CDMA2000/GSM 双模双待,王牌（TCL）,0,0,1188,5.0-4.6英寸,安卓（Android）,
101153,TCL J305T 3G手机(水墨黑) TD-SCDMA/GSM 双卡双待,王牌（TCL）,6,732,550,4.0英寸,-,
101155,TCL Y710 亲子机 3G手机 (闪耀黄)WCDMA/GSM 双卡双待,王牌（TCL）,0,0,798,5.0英寸及以上,Android（安卓）,
101159,三星Galaxy Mega 6.3（P729）电信3G 双待 6.3寸屏  16G存储容量,LAX,0,2,1449,5.0英寸及以上,Android（安卓）,
101165,朵唯(DOOV) D8 3G手机(凝脂白)TD-SCDMA/GSM 双卡双待,欧欧（OO）,0,6,848,5.0英寸及以上,Android（安卓）,
101166,朵唯(DOOV) D500 3G手机(冰川白)TD-SCDMA/GSM 双卡双待,欧欧（OO）,4,90,699,4.5英寸,-,
101167,朵唯(DOOV) D360 3G手机(镁光白)TD-SCDMA/GSM 双卡双待,欧欧（OO）,1,50,499,4.3英寸,-,
101179,HTC A9188/天玺 华山 移动3G TD-SCDMA CMMB 安卓系统(黑色),HTC,2,50,699,4.1-4.9英寸,Android（安卓）,
101182,中兴 星辰N919 电信3G手机(蓝星黑)CDMA2000/CDMA,中兴（ZTE ）,9,717,459,-,谷歌Android,
101187,ZTE 中兴 N795 3G手机 CDMA2000/CDMA 黄色 电信定制机,中兴（ZTE ）,0,0,276,-,其他,
101190,联想(Lenovo) A308T 3G手机  TD-SCDMA/GSM 双卡双待,诺和（Novo）,8,205,288,-,-,
101192,三星GALAXY S4 Zoom（C101）联通3G 双核智能手机,LAX,13,351,2194,4.3英寸,-,
101195,K-Touch 天语 小黄蜂T619+升级版 移动定制版 双卡双待,天语（K-Touch ）,5,60,355,-,谷歌Android,
101236,中兴(ZTE)U791 3G手机(象牙白色)TD-SCDMA/GSM 双卡双待,中兴（ZTE ）,0,5,242,3.5英寸以下,Android（安卓）,
101237,中兴手机U819 [黄黑],中兴（ZTE ）,0,51,499,4.1-4.9英寸,Android（安卓）,
101242,HUAWEI(华为)Y220S 安卓2.3智能 3.5寸屏 移动3G ,华为（HUAWEI）,0,13,399,3.6-4.0英寸,Android（安卓）,
101244,华为U8800+ 3G手机(WCDMA/GSM Andriod2.2 500万像素摄像头 支持WIFI 联通版 ,None,0,1,449,3.6-4.0英寸,Android（安卓）,
101245,Huawei/华为 C8815 电信四核 5.0大屏智能手机,华为（HUAWEI）,9,429,579,-,-,
101256,Huawei 华为 麦芒 A199(G710)GSM/CDMA2000 双模双待 手机 红色,华为（HUAWEI）,4,105,1732,5.0英寸,-,
101270,联想(Lenovo)A208T 3G手机  TD-SCDMA/GSM,诺和（Novo）,1,141,248,3.5英寸,-,
101285,K-Touch 天语 C966e WIFI 电信智能机 学生机 4寸大屏 GPS 黑色,天语（K-Touch ）,1,165,198,-,-,
101292,酷派 5210A 3G手机(炫动黑) CDMA2000∕CDMA,酷派（Coolpad）,0,1,448,3.5英寸以下,Android（安卓）,
101294,Coolpad/酷派5891电信手机四核5.0大屏手机(白色),欧欧（OO）,9,1281,468,-,谷歌Android,
101295,酷派S20 双网双模双待 CDMA/GSM 天翼电信移动联通双卡 小巧纤薄 G+C双网双待待机王,酷派（Coolpad）,0,993,339,-,其他,
101303,Hisense/海信 HS-EG909 电信版双核双模双待安卓4.0智能手机,海信（Hisense）,0,0,499,3.6-4.0英寸,Android（安卓）,
101305,Hisense/海信 HS-EG906 安卓4.0智能手机 双网双待双通 电信手机(1850毫安电池) GSM+CDMA双网双待 底价发售(黑色),海信（Hisense）,0,0,598,3.6-4.0英寸,Android（安卓）,
101313,Hisense 海信 HS-E930 电信3G 4.5英寸安卓智能手机 (俊雅黑),海信（Hisense）,0,0,398,3.6-4.0英寸,IOS（iPhone）,
101322,Hisense 海信 U820 双卡双待 安卓智能手机 1GCPU急速处理器 (黑色）,海信（Hisense）,1,3,268,-,-,
101349,摩托罗拉（Motorola）XT883 3G手机（领创黑）,摩托罗拉（Motorola）,13,255,1599,-,-,
101435,诺基亚(NOKIA)Lumia 625 625h 3G手机WCDMA/GSM,小米（MI）,0,1018,786,4.7英寸,微软WindowsPhone,
101450,诺基亚E7-00(NOKIA E7-00) 全触屏3G音乐智能手机超大4英寸屏幕 支持wifi,诺基亚（Nokia）,0,163,1188,3.6-4.0英寸,Android（安卓）,
101473,DAXIAN 大显 GST6000 双卡双待 触屏手写老人手机 高清摄像头大字体老人机,大显（Daxian）,4,32,336,3.5英寸以下,非智能操作系统,
101474,DAXIAN 大显 GS123 时尚老人手机 大字体 新款 大按键老年手机备用手机双卡双待,大显（Daxian）,0,10,296,3.5英寸以下,非智能操作系统,
101530,诺基亚（NOKIA）C1-02 GSM手机移动定制机,诺基亚（Nokia）,1,203,280,-,-,
101611,三星（SAMSUNG）i9003 3G手机  WCDMA/GSM,三星（SAMSUNG）,0,4,2199,3.6-4.0英寸,Android（安卓）,
102380,三星 W789 电信3G,三星（SAMSUNG）,47,6057,1999,-,安卓（Android）,
102475,三星 I9128 移动3G手机 双核5.0寸屏 TD-SCDMA/WCDMA,三星（SAMSUNG）,0,11,799,-,-,
102487,三星 S6812C 联通3G手机 双卡双待 3.5寸屏WCDMA/GSM ,三星（SAMSUNG）,0,1,368,3.5英寸以下,Android（安卓）,
103237,三星Galaxy Trend3 G3502U 联通3G智能手机双卡双待4.3寸屏WCDMA/GSM ,LAX,1,5,595,4.1-4.9英寸,Android（安卓）,
103238,三星(SAMSUNG)I9128E 3G手机 TD-SCDMA/WCDMA,三星（SAMSUNG）,0,1,1399,5.0英寸及以上,Android（安卓）,
103239,三星Galaxy Trend3 G3508 移动3G双卡双待四核4.3寸屏TD-SCDMA/GSM,LAX,0,0,470,-,-,
103642,三星Galaxy Trend3 G3502 联通3G智能手机双卡双待4.3寸屏WCDMA/GSM ,LAX,0,2,799,-,-,
103650,联想(Lenovo)A678T 3G手机  TD-SCDMA/GSM 双卡双待,诺和（Novo）,6,41,680,5.0-4.6英寸,安卓（Android）,
103651,HTC 301e 3G手机(极地白)WCDMA/GSM,HTC,0,5,1199,4.1-4.9英寸,Android（安卓）,
103652,联想 A770e 电信3G手机  CDMA2000/CDMA,联想（Lenovo）,29,3009,419,5.0英寸及以上,Android（安卓）,
103653,联想(Lenovo) A318T 3G手机  TD-SCDMA/GSM,诺和（Novo）,0,27,399,4.0英寸,-,
103677,三星 S7568I 移动3G手机4.0寸屏TD-SCDMA/GSM ,三星（SAMSUNG）,0,1,388,-,-,
103678,诺基亚(NOKIA)108 GSM手机双卡双待,诺基亚（Nokia）,280,14963,218,-,其他,
103682,三星 S7562C 双卡双待 4.0寸屏3G智能手机 WCDMA/GSM,三星（SAMSUNG）,2,189,414,-,-,
103683,联想 A269 3G手机  WCDMA/GSM 双卡双待,联想（Lenovo）,0,0,299,3.5英寸以下,Android（安卓）,
103785,中兴（ZTE）U802 3G手机（白色）TD-SCDMA/GSM,中兴（ZTE ）,0,2,248,3.5英寸以下,非智能操作系统,
103914,中兴（ZTE）U880 3G手机（灰色）TD-SCDMA/GSM,中兴（ZTE ）,0,0,235,3.5英寸,谷歌Android,
103927,联想 E319 GSM手机  移动定制,联想（Lenovo）,0,5,236,-,-,
103949,诺基亚（NOKIA）702T 3G手机TD-SCDMA/GSM,诺基亚（Nokia）,0,14,1549,3.5英寸以下,Symbian,
103974,华为 荣耀3 outdoor 3G手机 HN3-U01 WCDMA/GSM,荣耀（ROVOS）,0,7,998,-,谷歌Android,
103979,联想 A850 3G手机  WCDMA/GSM 双卡双待,联想（Lenovo）,2,111,675,-,-,
104155,诺基亚Lumia1020 WCDMA/GSM 双核4.5寸屏4100w像素3G手机,小米（MI）,4,446,2899,4.1-4.9英寸,Windows Phone,
104874,天语(K-Touch)T93 3G手机TD-SCDMA/GSM,天语（K-Touch ）,5,388,379,-,谷歌Android,
104991,诺基亚(NOKIA) 106 GSM手机,诺基亚（Nokia）,564,28520,133,-,谷歌Android,
104992,中兴(ZTE) U809 3G手机(白色) TD-SCDMA/GSM 双卡双待,中兴（ZTE ）,2,489,296,3.6-4.0英寸,Android（安卓）,
105082,三星 B309i 电信定制手机 CDMA,三星（SAMSUNG）,27,2008,209,-,-,
105168,三星Galaxy Trend3 G3509 电信3G双核4.3寸屏 CDMA2000/CDMA ,LAX,4,68,799,-,-,
105179,三星 E1200R ,三星（SAMSUNG）,83,13011,123,3.5英寸以下,非智能操作系统,
105184,Samsung 三星-SAMSUNG 三星 I699I CDMA2000/CDMA 3G手机,三星（SAMSUNG）,25,2370,718,5.0英寸,谷歌Android,
105325,NOKIA/诺基亚 107 GSM 双卡双待手机 ,诺基亚（Nokia）,69,4830,169,1.8英寸,-,
105326,NOKIA/诺基亚 515 备用机 双卡双待 500万像素 铝制机 ,诺基亚（Nokia）,0,8731,178,1.4英寸,其他,
105349,诺基亚Lumia1520 WCDMA/GSM 四核6.0寸屏wp8系统3G手机,小米（MI）,6,247,2748,5.0英寸及以上,Windows Phone,
105352,诺基亚 1680c 手机大陆行货全国联保,诺基亚（Nokia）,0,1,350,-,-,
105444,【Nokia诺基亚6700C手机】Nokia/诺基亚6700C 正品行货 ,诺基亚（Nokia）,0,0,1999,-,-,
105446,Nokia 诺基亚-诺基亚手机N7310C,诺基亚（Nokia）,0,1,690,-,-,
105447,Lenovo/联想 A516 3G手机 WCDMA/GSM 双卡双待,诺和（Novo）,1,76,392,4.1-4.9英寸,Android（安卓）,
105448,Lenovo/联想 A656 GSM手机 双卡双待 四核处理器 5.0英寸大屏 500万高清,诺和（Novo）,0,4,549,5.0英寸及以上,Android（安卓）,
105449,联想VIBE X（S960）联通3G手机 1300万像素 智能手机,联想（Lenovo）,0,0,649,-,-,
105467,Lenovo/联想 A218t 3G手机 TD-SCDMA/GSM 双卡双待 Android2.3,诺和（Novo）,3,48,269,3.5英寸以下,Android（安卓）,
105468,Lenovo 联想 A750e 双模双待 CDMA2000/GSM 3G手机,诺和（Novo）,6,118,369,5.0英寸及以上,Android（安卓）,
105469,联想 S820e 电信3G,联想（Lenovo）,19,1973,1752,4.7英寸,-,
105471,Lenovo/联想 A766 双卡双待 安卓系统 5英寸屏 联通定制,诺和（Novo）,1,28,699,5英寸,-,
105478,联想 A680 WCDMA/GSM双卡双待 四核5.0寸屏 联通3G手机,联想（Lenovo）,0,33,598,5.0英寸,-,
105480,联想 A760 3G手机  WCDMA/GSM 双卡双待单通4.5英寸,联想（Lenovo）,16,317,679,4.1-4.9英寸,Android（安卓）,
105481,Lenovo 联想-A860E CDMA2000/GSM 3G手机(电信定制)5.5英寸大屏,诺和（Novo）,0,2,699,-,-,
105561,华为手机Y511-T00)TD-SCDMA/GSM 双卡双待,华为（HUAWEI）,0,0,479,4.1-4.9英寸,Android（安卓）,
105563,Huawei/华为 w2-T00 手机智能手机 多彩触屏移动版TD-SCDMA,华为（HUAWEI）,0,1,588,-,微软WindowsPhone,
105564,华为 Y320-C00 电信3G手机CDMA2000/CDMA,华为（HUAWEI）,0,3,449,3.6-4.0英寸,Android（安卓）,
105565,HUAWEI 华为 Y321C CDMA2000/GSM 双模双待3G手机 ,华为（HUAWEI）,0,0,548,3.6-4.0英寸,Android（安卓）,
105573,华为 手机 W2-T01智能手机 移动3G 行货联保 正品行货 品质保障 冰点价全场包邮,华为（HUAWEI）,7,177,676,-,-,
105575,Huawei/华为 G610-T00(t11) 安卓4.2智能手机 移动3G双卡双待 500万像素,华为（HUAWEI）,7,502,768,4.5英寸,谷歌Android,
105615,HTC-HTC Desire 5088 TD-SCDMA/GSM 3G手机  光韵黑 ,HTC,7,1201,588,4.1-4.9英寸,Android（安卓）,
105653,MOTOROLA/摩托罗拉 XT685锋丽 双卡双模 联通版 安卓4.0 高清拍照(黑色),摩托罗拉（Motorola）,0,11,1399,-,谷歌Android,
105658,NOKIA 诺基亚 Lumia 526 移动3G手机  WP8智能系统  500万像素摄像头 ,小米（MI）,1,13,779,3.6-4.0英寸,Windows Phone,
105662,中兴(ZTE)极客Geek移动版 U988S 3G手机(蓝色)TD-SCDMA/GSM,网件（NETGEAR）,0,0,996,5.0英寸及以上,Android（安卓）,
105663,ZTE/中兴 MEMO N5S 3G手机(白色)CDMA2000/GSM 双模双待,茉（MO）,4,95,798,5.0英寸及以上,Android（安卓）,
105666,ZTE 中兴-ZTE 中兴 N909 电信3G手机 红色,中兴（ZTE ）,2,610,396,-,谷歌Android,
105668,ZTE 中兴-ZTE 中兴 U817 TD-SCDMA/GSM 3G手机 黄色,中兴（ZTE ）,38,1259,444,4.5英寸,-,
105669,ZTE中兴 N798+ 4.0英寸屏幕 1.0GHz双核处理器 Android 4.0.4操作系统 (黑色),中兴（ZTE ）,0,32,399,3.6-4.0英寸,Android（安卓）,
105670,ZTE/中兴 V9e电信3G 安卓智能7.0英寸平板电脑手机 黑色,中兴（ZTE ）,0,9,799,5.0英寸及以上,Android（安卓）,
105672,ZTE中兴F116C   联通3G 直板 老年人精致手机 大字体大按键 ,中兴（ZTE ）,0,1,139,-,-,
105673,-ZTE/中兴 D300 电信CDMA 金属质感 高端商务大气 手机 浅灰色,中兴（ZTE ）,0,9,299,-,其他,
105674,ZTE 中兴-中兴C370 CDMA手机 （黑金）,中兴（ZTE ）,0,1,242,-,-,
105675,ZTE 中兴-中兴C336 CDMA手机 （香槟色）,中兴（ZTE ）,0,0,236,-,-,
105678,ZTE/中兴 N986 电信3G手机 CDMA2000/GSM 双模双待双通 四核1.2GHz Android 4.2系统(白色),中兴（ZTE ）,12,133,636,5.0英寸及以上,Android（安卓）,
105681,中兴U230 3G手机 TD-SCDMA/GSM、200万像素摄像头 灰色,中兴（ZTE ）,0,2,198,3.5英寸以下,非智能操作系统,
105691,ZTE/中兴 V956 3G手机 WCDMA/GSM 双卡双待 极速四核 (黑色),中兴（ZTE ）,0,7,599,4.1-4.9英寸,Android（安卓）,
105703,Sony Ericsson 索尼爱立信- W595c手机,索尼（SONY）,0,0,1666,-,-,
105704,索尼 Xperia Z1 L39h 联通3G手机 2GRAM+16GROM 四核 5.0英寸,索尼（SONY）,0,6,1899,5.0英寸及以上,Android（安卓）,
105731,Nubia 努比亚 Z5 32G版 (NX501) 三网通 3G手机( 黑),努比亚（nubia）,11,2762,599,5.0英寸,谷歌Android,
105775,SUGAR SS129 3G手机 WCDMA/GSM 白色16G ,None,0,0,2688,-,-,
105779,Haier 海尔 W880 3G手机 WCDMA/GSM 典雅黑 双卡双待,海尔（Haier）,0,1,599,5.0英寸及以上,Android（安卓）,
105780,海尔 HT-i860 四核 1.2Ghz处理器 5.0英寸 (黑色),海尔（Haier）,0,9,476,5.0英寸及以上,Android（安卓）,
105972,三星Galaxy Grand I9118 移动3G手机 双核5.0寸屏TD-SCDMA/GSM,LAX,8,5194,639,5.0英寸及以上,其它智能系统,
105974,Lenovo/联想 A269i 联通 3G 手机 WCDMA/GSM ,诺和（Novo）,2,4,179,-,-,
106057,海尔M365(炫彩金)双卡双待超长待机直板老人手机 ,海尔（Haier）,2,25,230,3.5英寸以下,非智能操作系统,
106060,Haier 海尔-海尔V76智能声控手机（宝石蓝）,海尔（Haier）,0,0,348,3.5英寸以下,非智能操作系统,
106067,海尔专属老人机HT-A6(富贵红),富贵红,0,1,548,3.6-4.0英寸,Android（安卓）,
106073,-海尔 E3 小巧 电信 3G CDMA 触摸 手机 全新行货联保 黑色,海尔（Haier）,0,0,249,3.5英寸以下,其它智能系统,
106074,Haier 海尔HE-N6E Andriod 2.2 CDMA2000 3G智能手机手机(流金褐）,海尔（Haier）,0,0,298,3.5英寸以下,Android（安卓）,
106096,BlackBerry/黑莓 9930 全键盘+触屏 三网通用 (黑色),黑莓（BlackBerry）,0,26,2999,-,其他,
106098,Philips/飞利浦W6500 (柠檬黄)四核待机王 ,飞利浦（PHILIPS）,0,16,1198,-,-,
106101,飞利浦 手机 E1500 黑+红,飞利浦（PHILIPS）,0,0,149,-,-,
106134,诺基亚（Nokia）WCDMA/GSM手机 500,诺基亚（Nokia）,1,8,598,-,-,
106140,NOKIA 诺基亚Lumia 525 3G手机WCDMA/GSM、双核1.0GHz处理器、500万像素,小米（MI）,1,16,499,3.6-4.0英寸,Windows Phone,
106142,中兴 V5S 双4G兼容版 前黑后白 移动联通4G手机 双卡双待,中兴（ZTE ）,30,1251,689,-,-,
106144,HUAWEI 华为 Mate 2G RAM 1.5GHz四核超强CPU MT1-T00 3G智能手机 水晶白,华为（HUAWEI）,0,0,1392,6.1英寸,-,
106253,Lenovo/联想 S658t 4.7英寸移动3G 四核 安卓4.2智能触屏手机,诺和（Novo）,0,6,648,-,谷歌Android,
106264,Philips 飞利浦 X5500手机 超长待机,飞利浦（PHILIPS）,0,3,699,-,-,
106265,PHILIPS 飞利浦 T3566 双模双待 3G手机(黑色) 移动定制,飞利浦（PHILIPS）,0,0,459,3.6-4.0英寸,Android（安卓）,
106267,Philips/飞利浦 W8560 四核3G双模双待待机王 1300万像素3300大容量电,飞利浦（PHILIPS）,2,8,2888,-,-,
106273,K-Touch/天语 E656 4寸 双核1GHz 电信双网双待 安卓4.1智能手机(黑色),天语（K-Touch ）,0,4,199,-,-,
106274,K-Touch/天语 C988t手机 移动双核 智能安卓 4.0屏  黑色,天语（K-Touch ）,0,0,449,3.6-4.0英寸,Android（安卓）,
106278,天语 K-Touch/ C986T+双核安卓智能手机TD移动3G 双卡双待,天语（K-Touch ）,23,2370,288,3.6-4.0英寸,Android（安卓）,
106319,诺基亚Lumia1320 WCDMA/GSM  双核1.7GH 6.0寸屏 ,小米（MI）,40,2591,1844,6英寸,-,
106326,Huawei/华为 Y325 3G智能 手机 移动版 双核1.3GHz处理器 双卡双待 4.0英寸 ,华为（HUAWEI）,0,0,398,3.6-4.0英寸,Android（安卓）,
106333,K-Touch/天语 T60 TD移动3G 安卓4.2系统 双卡双待 4.0英寸电容触摸屏智能 ,天语（K-Touch ）,0,1,278,3.6-4.0英寸,Android（安卓）,
106337,K-Touch/天语 S787 蜂Pad 5.0英寸双核1.2G 双卡双待安卓智,天语（K-Touch ）,0,0,498,5.0英寸及以上,Android（安卓）,
106339,K-Touch/天语 U83t 移动3G 双卡双待 双核1G 安卓4.0系统(白色),天语（K-Touch ）,10,83,349,-,谷歌Android,
106340,K-Touch 天语 T91 TD-SCDMA/GSM ,天语（K-Touch ）,4,10,418,5.0英寸及以上,Android（安卓）,
106347,K-Touch 天语 C666t TD-SCDMA/GSM 双卡双待 3G手机,天语（K-Touch ）,0,0,279,3.5英寸以下,Android（安卓）,
106359,Coolpad 酷派 8736 4G智能手机 TD-LTE/TD-SCDMA/GSM 智铂银 多模双待,欧欧（OO）,0,3,658,5英寸,谷歌Android,
106363,HUAWEI 华为 G716 TD-LTE/TD-SCDMA/GSM 4G手机 ,华为（HUAWEI）,1,45,949,5.0英寸及以上,Android（安卓）,
106368,Huawei/华为 C8813DQ 3G手机 双卡双待 CDMA2000/GSM,华为（HUAWEI）,0,796,358,5.0-4.6英寸,安卓（Android）,
106372,东信EG520黑色现货 翻盖老人手机,东信（Eastcom）,0,24,298,-,-,
106379,NUU nu1 3G智能手机 WCDMA/GSM 白色,None,0,25,399,-,谷歌Android,
106385,三星 G3819D 电信3G双网双待 四核4.5寸屏CDMA2000/GSM,三星（SAMSUNG）,1,18,670,4.1-4.9英寸,Android（安卓）,
