92273,长虹 M558M金宝马 GSM 手机（钢琴黑+金色）双卡双待,长虹（CHANGHONG）,0,0,498,3.5英寸以下,其它智能系统,
92290,多普达（Dopod）S900c 3G手机（黑色）CDMA2000/CDMA 电信定制,欧博（OPO）,0,0,899,3.5英寸以下,Windows Phone,
92330,诺基亚（NOKIA）C6-00导航版 3G手机WCDMA/GSM ,诺基亚（Nokia）,0,0,599,3.5英寸以下,Symbian,
92486,华为（HUAWEI）T8808D3G手机TD-SCDMA/GSM 双卡双待双通,华为（HUAWEI）,0,3,448,-,-,
92499,天语（K-TOUCH）T580 3G手机TD-SCDMA/GSM,天语（K-Touch ）,0,4,319,3.5英寸以下,Android（安卓）,
92535,诺基亚（Nokia）N2220S GSM手机,诺基亚（Nokia）,0,0,279,-,-,
92542,诺基亚（nokia）X3-02 3G手机WCDMA/GSM ,诺基亚（Nokia）,0,0,1058,-,-,
92576,三星 I8160 安卓3G手机 双核处理器 3.8寸屏 WCDMA/GSM,三星（SAMSUNG）,0,2,1299,4.1-4.9英寸,Android（安卓）,
92577,联想（Lenovo）A60+ 3G手机  WCDMA/GSM 联通定制,诺和（Novo）,0,0,278,-,-,
92579,三星 I519 电信3G手机双模双待 CDMA2000/GSM,三星（SAMSUNG）,0,1,698,3.6-4.0英寸,Android（安卓）,
92581,ZTE 中兴 V970 3G手机(黑色)WCDMA/GSM 双卡双待安卓4.0+1G双核处理器+4.3寸QHD高清大屏,None,0,0,798,4.1-4.9英寸,Android（安卓）,
92584,K-Touch/天语 W658 小炫蜂 双卡双待 ,天语（K-Touch ）,0,0,346,3.5英寸以下,其它智能系统,
92585,Lenovo/联想 TD106   TD-SCDMA/GSM 内置大字体 支持拓展卡存储,诺和（Novo）,0,6,225,3.5英寸以下,非智能操作系统,
92593,HTC 惊艳 S715e 黑色 3G手机 智能手机,HTC,1,195,299,3.6-4.0英寸,Android（安卓）,
92597,ZTE/中兴 V960  黑色 安卓2.3 4.3寸屏幕500W像素,中兴（ZTE ）,0,0,498,4.1-4.9英寸,Android（安卓）,
92598,三星 S6358 移动3G智能手机 3.5寸屏 TD-SCDMA/GSM,三星（SAMSUNG）,0,3,498,-,-,
92604,HTC 野火A3380 3G手机（黒）TD-SCDMA/GSM 移动定制机,HTC,0,2,399,-,谷歌Android,
92608,HTC T9188 3G手机（黑色）TD-SCDMA/GSM 移动定制,HTC,0,24,3799,4.1-4.9英寸,Android（安卓）,
92619,诺基亚（NOKIA）2730C 3G手机（黑色） WCDMA/GSM 联通定制,诺基亚（Nokia）,0,18,399,-,-,
92629,诺基亚（NOKIA）C7-00 3G手机WCDMA/GSM 联通定制,诺基亚（Nokia）,0,1004,848,3.5英寸以下,其它智能系统,
92711,Nokia 诺基亚 7610S GSM手机,诺基亚（Nokia）,0,0,1428,-,-,
92757,三星 S7530E 3G手机WP7.5系统 8G内存WCDMA/GSM,三星（SAMSUNG）,0,0,1999,3.6-4.0英寸,Windows Phone,
92776,中兴（ZTE）V889M 3G手机（黑色）WCDMA/GSM 双卡双待 联通定制,中兴（ZTE ）,5,285,479,4.1-4.9英寸,Android（安卓）,
92844,联想（Lenovo）乐Phone A710e 3G手机（时尚白）CDMA2000/CDMA 电信定制,诺和（Novo）,0,0,286,-,-,
